"coder"	"question_id"	"item_admin"	"item_name"	"language"	"country"	"study"	"domain"	"natpoldomain"	"dom_european"	"intpoldomain"	"dom_family"	"dom_personal"	"dom_work"	"dom_consumer"	"dom_leisure"	"dom_health"	"dom_backgrou"	"dom_other"	"concept"	"conc_simple"	"conc_complex"	"socdesir"	"centrality"	"ref_period"	"form_basic"	"used_WH_word"	"WH_word"	"questiontype"	"gradation"	"balance"	"encourage"	"subjectiveop"	"opinionother"	"stimulus"	"absolute"	"scale_basic"	"ncategories"	"labels"	"labels_gramm"	"labels_order"	"scale_corres"	"scale_max"	"scale_trange"	"scale_urange"	"symmetry"	"scal_neutral"	"fixrefpoints"	"nfrequencies"	"dont_know"	"instr_interv"	"instr_respon"	"motivation"	"knowledge"	"intropresent"	"nsents_intro"	"nwords_intro"	"numsub_intro"	"intr_request"	"nsents_quest"	"nwords_quest"	"nnouns_quest"	"nabst_quest"	"nsyll_quest"	"nsub_quest"	"nnouns_ans"	"nwords_ans"	"nsyll_ans"	"nabst_ans"	"usedshowcard"	"showc_horiz"	"showc_over"	"showc_letter"	"showc_boxes"	"showc_start"	"showc_quest"	"showc_pict"	"highest_num"	"num_isents"	"question"	"battery"
"irmtraud"	11	"B8"	"TRSTLGL"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	0	","	","	","	","	","	","	","	","	1	0	0	11	2	0	1	1	"."	1	0	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	0	2	1	1	3	0	0	0	0	0	1	1	1	1	0	0	0	0	"."	"."	"."	1
"irmtraud"	12	"B9"	"TRSTPLC"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	0	","	","	","	","	","	","	","	","	1	0	0	11	2	0	1	1	"."	1	0	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	0	2	1	1	4	0	0	0	0	0	1	1	1	1	0	0	0	0	"."	"."	"."	1
"irmtraud"	13	"B30"	"STFECO"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	3	2	2	1	10	1	1	1	0	0	0	0	0	0	11	2	0	1	1	"."	1	1	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	13	2	2	27	0	0	4	11	0	1	1	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	14	"B31"	"STFGOV"	"deu"	"AT"	"ESS Round 1"	1	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	3	2	2	1	10	1	1	1	1	0	0	0	0	0	11	2	0	1	1	"."	1	1	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	22	4	3	38	1	0	4	11	0	1	1	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	15	"B32"	"STFDEM"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	3	2	2	1	10	1	1	1	0	0	0	0	0	0	11	2	0	1	2	"."	1	1	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	18	4	3	31	1	0	4	11	0	1	1	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	16	"B43"	"GINVECO"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	1	"."	"."	1	2	2	1	0	"."	1	1	0	1	0	0	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	2	0	0	0	"."	0	"."	"."	"."	"."	2	29	5	4	47	2	0	12	17	0	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	17	"B44"	"GINCDIF"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	6	"."	1	3	1	0	","	","	","	","	","	","	","	","	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	9	3	3	23	1	0	0	0	0	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	18	"B45"	"NEEDTRU"	"deu"	"AT"	"ESS Round 1"	7	"."	"."	"."	"."	"."	7	"."	"."	"."	"."	"."	7	5	"."	1	3	1	0	","	","	","	","	","	","	","	","	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	2	0	0	0	"."	0	"."	"."	"."	"."	1	11	4	2	27	1	0	0	0	0	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	19	"None"	"TEST1A"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	9	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	2	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	600	3	0	0	0	"."	0	"."	"."	"."	"."	1	12	3	2	23	0	2	2	5	2	1	1	1	0	0	1	1	0	"."	"."	"."	0
"irmtraud"	20	"None"	"TEST2A"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	8	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	2	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	600	3	0	0	0	"."	0	"."	"."	"."	"."	1	11	3	2	20	0	2	2	5	2	1	1	1	0	0	1	1	0	"."	"."	"."	0
"irmtraud"	21	"None"	"TEST3A"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	7	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	2	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	600	3	0	0	0	"."	0	"."	"."	"."	"."	1	15	4	3	28	0	2	2	5	2	1	1	1	0	0	1	1	0	"."	"."	"."	0
"irmtraud"	22	"None"	"TEST4"	"deu"	"AT"	"ESS Round 1"	1	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	1	"."	"."	1	2	2	1	0	"."	2	1	0	1	0	0	1	0	0	5	3	0	1	2	"."	1	1	1	1	1	"."	3	0	1	0	"."	0	"."	"."	"."	"."	2	28	2	2	51	3	2	12	25	2	1	0	1	1	0	1	1	0	"."	"."	"."	1
"irmtraud"	23	"None"	"TEST5"	"deu"	"AT"	"ESS Round 1"	1	10	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	8	"."	1	2	1	0	","	","	","	","	","	","	","	","	1	0	0	5	3	0	1	2	"."	1	1	1	1	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	13	6	2	20	1	6	12	18	2	1	0	1	1	0	0	0	0	"."	"."	"."	1
"irmtraud"	24	"None"	"TEST6"	"deu"	"AT"	"ESS Round 1"	1	10	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	3	"."	1	2	2	0	","	","	","	","	","	","	","	","	1	0	0	5	3	0	1	2	"."	1	1	1	1	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	13	2	2	22	1	2	12	25	2	1	0	1	1	0	0	0	0	"."	"."	"."	1
"irmtraud"	25	"None"	"TEST7"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	3	2	2	1	10	1	1	1	0	0	0	0	0	0	4	3	0	1	1	"."	1	1	1	3	0	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	13	2	2	27	0	0	8	26	0	1	0	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	26	"None"	"TEST8"	"deu"	"AT"	"ESS Round 1"	1	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	2	1	10	1	1	1	1	0	0	0	0	0	4	3	0	1	1	"."	1	1	1	3	0	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	22	4	3	38	2	0	8	26	0	1	0	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	27	"None"	"TEST9"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	3	2	2	1	10	1	1	1	0	0	0	0	0	0	4	3	0	1	1	"."	1	1	1	3	0	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	18	4	3	31	1	0	8	26	0	1	0	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	28	"None"	"TEST10"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	2	"."	"."	1	3	2	1	0	"."	3	1	0	0	1	0	0	0	0	6	2	1	1	2	"."	1	1	1	3	0	"."	3	0	1	0	"."	0	"."	"."	"."	"."	3	55	6	1	84	4	1	12	19	0	1	1	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	29	"None"	"TEST11"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	1	"."	"."	1	3	2	1	0	"."	3	1	0	0	1	0	0	0	0	6	2	1	1	2	"."	1	1	1	3	0	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	24	2	1	40	2	2	17	32	0	1	1	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	30	"None"	"TEST12"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	1	"."	"."	1	3	2	1	0	"."	3	1	0	0	1	0	0	0	0	6	2	1	1	2	"."	1	1	1	3	0	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	25	4	3	39	2	3	17	29	1	1	1	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	31	"None"	"TEST13"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	1	0	"."	1	1	0	1	1	0	1	0	0	11	2	0	1	1	"."	1	0	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	2	38	3	1	72	1	2	2	13	2	1	1	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	32	"None"	"TEST14"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	0	","	","	","	","	","	","	","	","	1	0	0	11	2	0	1	1	"."	1	0	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	0	2	1	1	3	0	0	0	0	0	1	1	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	33	"None"	"TEST15"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	0	","	","	","	","	","	","	","	","	1	0	0	11	2	0	1	1	"."	1	0	1	1	3	"."	2	0	0	0	"."	0	"."	"."	"."	"."	0	2	1	1	4	0	0	0	0	0	1	1	1	1	0	0	0	0	"."	"."	"."	1
"irmtraud"	34	"None"	"TEST16"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	1	"."	"."	1	2	2	1	0	"."	1	1	0	1	0	0	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	2	26	4	3	45	1	2	12	25	2	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	35	"None"	"TEST17"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	6	"."	1	2	1	0	","	","	","	","	","	","	","	","	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	9	3	3	22	1	2	12	25	2	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	36	"None"	"TEST18"	"deu"	"AT"	"ESS Round 1"	7	"."	"."	"."	"."	"."	7	"."	"."	"."	"."	"."	7	5	"."	1	2	1	0	","	","	","	","	","	","	","	","	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	11	4	3	27	1	2	12	25	2	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	37	"None"	"TEST19"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	9	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	0	7	3	0	1	2	"."	0	0	0	3	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	12	3	2	23	0	7	18	23	7	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	38	"None"	"TEST20"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	8	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	0	7	3	0	1	2	"."	0	0	0	3	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	11	3	3	20	0	7	18	23	7	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	39	"None"	"TEST21"	"deu"	"AT"	"ESS Round 1"	14	"."	"."	"."	"."	"."	"."	"."	7	"."	"."	"."	5	"."	"."	1	2	2	2	1	9	1	1	0	0	0	0	0	0	0	7	3	0	1	2	"."	0	0	0	3	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	15	4	3	28	0	7	18	23	7	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	40	"None"	"TEST22"	"deu"	"AT"	"ESS Round 1"	1	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	1	"."	"."	1	2	2	1	0	"."	1	1	0	1	0	0	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	2	28	1	1	51	2	2	12	25	2	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	41	"None"	"TEST23"	"deu"	"AT"	"ESS Round 1"	1	10	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	8	"."	1	2	1	0	","	","	","	","	","	","	","	","	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	12	2	2	26	1	2	12	25	2	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	42	"None"	"TEST24"	"deu"	"AT"	"ESS Round 1"	1	10	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	3	"."	1	2	2	0	","	","	","	","	","	","	","	","	1	0	0	5	3	0	2	3	"."	1	1	1	1	1	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	14	2	2	23	1	2	12	25	2	1	0	1	1	0	0	1	0	"."	"."	"."	1
"irmtraud"	43	"None"	"TEST25"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	3	"."	1	3	2	2	1	10	1	1	1	0	1	0	0	0	0	6	2	0	1	1	"."	1	1	1	3	2	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	13	2	2	27	0	0	4	11	0	1	1	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	44	"None"	"TEST26"	"deu"	"AT"	"ESS Round 1"	1	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	3	"."	1	2	2	2	1	10	1	1	1	0	0	0	0	0	0	6	2	0	1	1	"."	1	1	1	3	2	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	22	4	3	38	2	0	4	11	0	1	1	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	45	"None"	"TEST27"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	3	"."	1	2	2	2	1	10	1	1	1	0	0	0	0	0	0	6	2	0	1	1	"."	1	1	1	3	2	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	18	4	3	31	1	0	4	11	0	1	1	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	46	"None"	"TEST28"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	2	"."	"."	1	3	2	1	0	"."	3	0	0	0	1	0	0	0	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	25	3	1	38	2	1	12	19	0	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	47	"None"	"TEST29"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	1	"."	"."	1	3	2	1	0	"."	3	0	0	0	1	0	0	0	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	24	2	1	40	3	2	17	32	0	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	48	"None"	"TEST30"	"deu"	"AT"	"ESS Round 1"	11	"."	"."	"."	"."	4	"."	"."	"."	"."	"."	"."	1	"."	"."	1	3	2	1	0	"."	3	0	0	0	1	0	0	0	1	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	25	4	3	39	2	3	17	29	1	1	0	1	1	0	1	1	0	"."	"."	"."	0
"irmtraud"	49	"None"	"TEST31"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	1	0	"."	1	1	0	1	1	0	0	0	2	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	11	3	0	0	0	"."	0	"."	"."	"."	"."	3	36	6	5	65	1	1	2	2	1	1	1	1	0	0	0	1	0	"."	"."	"."	0
"irmtraud"	50	"None"	"TEST32"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	1	0	"."	1	1	0	1	1	0	0	0	2	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	11	3	0	0	0	"."	0	"."	"."	"."	"."	3	35	6	5	58	1	1	2	2	1	1	1	1	0	0	0	1	0	"."	"."	"."	0
"irmtraud"	51	"None"	"TEST33"	"deu"	"AT"	"ESS Round 1"	1	3	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	2	"."	"."	1	2	2	1	0	"."	1	1	0	1	1	0	0	0	2	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	11	3	0	0	0	"."	0	"."	"."	"."	"."	3	35	6	5	60	1	1	2	2	1	1	1	1	0	0	0	1	0	"."	"."	"."	0
"irmtraud"	52	"None"	"TEST34"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	1	"."	"."	1	3	2	2	0	"."	1	1	0	0	0	0	0	0	0	5	3	0	2	3	"."	0	0	0	1	3	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	14	3	2	22	1	0	8	15	0	1	0	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	53	"None"	"TEST35"	"deu"	"AT"	"ESS Round 1"	1	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	7	6	"."	1	3	1	2	0	"."	1	1	0	0	0	0	0	0	0	5	3	0	2	3	"."	0	0	0	1	3	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	9	3	3	23	1	0	8	15	0	1	0	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	54	"None"	"TEST36"	"deu"	"AT"	"ESS Round 1"	7	"."	"."	"."	"."	"."	7	"."	"."	"."	"."	"."	7	5	"."	1	3	1	2	0	"."	1	1	0	0	0	0	0	0	0	5	3	0	2	3	"."	0	0	0	1	3	"."	3	0	0	0	"."	0	"."	"."	"."	"."	1	11	4	3	27	1	0	8	15	0	1	0	1	1	0	0	1	0	"."	"."	"."	0
"irmtraud"	55	"A1"	"TVTOT"	"nld"	"BE"	"ESS Round 1"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	0	"."	"."	2	4	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	1	1	27	3	"."	2	21	6	5	35	0	12	48	64	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."
"irmtraud"	56	"A3"	"RDTOT"	"nld"	"BE"	"ESS Round 1"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	0	"."	"."	1	4	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	0	"."	"."	"."	"."	1	15	4	3	24	0	12	48	64	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."
"irmtraud"	57	"A5"	"NWSPTOT"	"nld"	"BE"	"ESS Round 1"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	0	"."	"."	1	4	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	0	"."	"."	"."	"."	1	15	5	4	23	0	12	48	64	12	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."
"irmtraud"	58	"A8"	"PPLTRST"	"nld"	"BE"	"ESS Round 1"	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	0	"."	"."	2	4	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	0	"."	"."	"."	"."	2	60	8	3	85	5	0	0	0	0	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."	"."
