"","absolute","balance","battery","centrality","coder","conc_complex","conc_simple","concept","country","dom_backgrou","dom_consumer","dom_european","dom_family","dom_health","dom_leisure","dom_other","dom_personal","dom_work","domain","dont_know","encourage","fixrefpoints","form_basic","gradation","highest_num","instr_interv","instr_respon","intpoldomain","intr_request","intropresent","item_admin","item_name","knowledge","labels","labels_gramm","labels_order","language","motivation","nabst_ans","nabst_quest","natpoldomain","ncategories","nfrequencies","nnouns_ans","nnouns_quest","nsents_intro","nsents_quest","nsub_quest","nsyll_ans","nsyll_quest","num_isents","numsub_intro","nwords_ans","nwords_intro","nwords_quest","opinionother","question","question_id","questiontype","ref_period","scal_neutral","scale_basic","scale_corres","scale_max","scale_trange","scale_urange","showc_boxes","showc_horiz","showc_letter","showc_over","showc_pict","showc_quest","showc_start","socdesir","stimulus","study","subjectiveop","symmetry","used_WH_word","usedshowcard","WH_word"
"3806",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,8,NA,NA,NA,14,2,0,1,2,1,NA,1,1,NA,NA,0,"HS14","testc14",NA,3,0,1,"spa",0,0,2,NA,7,NA,0,4,NA,2,1,13,27,NA,NA,NA,NA,15,0,NA,8022,1,2,3,0,1,NA,0,NA,NA,0,0,1,0,0,0,0,0,"ESS Round 4",0,NA,1,1,9
"3807",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,7,NA,NA,NA,14,2,0,1,2,1,NA,1,1,NA,NA,0,"HS15","testc15",NA,3,0,1,"spa",0,0,2,NA,7,NA,0,4,NA,2,2,13,31,NA,NA,NA,NA,17,0,NA,8023,1,2,3,0,1,NA,0,NA,NA,0,0,1,0,0,0,0,0,"ESS Round 4",0,NA,1,1,9
"3808",0,0,NA,2,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,1,1,NA,1,1,NA,0,1,"HS16","testc16",3,2,1,1,"spa",1,0,4,3,6,NA,0,6,1,5,4,19,84,NA,0,NA,12,51,0,NA,8024,2,2,3,0,1,NA,1,1,0,1,1,1,0,0,0,0,0,"ESS Round 4",0,1,0,1,NA
"3809",0,NA,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,0,NA,NA,0,0,NA,NA,0,"HS17","testc17",NA,2,1,1,"spa",0,0,1,3,6,NA,0,1,NA,1,0,19,6,NA,NA,NA,NA,3,NA,NA,8025,NA,2,3,0,1,NA,1,1,0,1,1,1,0,0,0,0,0,"ESS Round 4",NA,1,NA,1,NA
"3810",0,NA,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,2,0,NA,NA,0,0,NA,NA,0,"HS18","testc18",NA,2,1,1,"spa",0,0,1,3,6,NA,0,1,NA,1,0,19,2,NA,NA,NA,NA,2,NA,NA,8026,NA,2,3,0,1,NA,1,1,0,1,1,1,0,0,0,0,0,"ESS Round 4",NA,1,NA,1,NA
"3811",0,0,NA,3,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,1,1,NA,1,0,NA,NA,0,"HS19","testc19",NA,3,0,2,"spa",0,0,4,12,5,NA,0,5,NA,2,3,25,53,NA,NA,NA,NA,31,0,NA,8027,2,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,0,1,"ESS Round 4",1,1,0,1,NA
"3812",0,NA,NA,3,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,0,NA,NA,0,0,NA,NA,0,"HS20","testc20",NA,3,0,2,"spa",0,0,3,1,5,NA,0,3,NA,1,1,25,29,NA,NA,NA,NA,14,NA,NA,8028,NA,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,0,1,"ESS Round 4",NA,1,NA,1,NA
"3813",0,NA,NA,2,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,0,NA,NA,0,0,NA,NA,0,"HS21","testc21",NA,3,0,2,"spa",0,0,3,3,5,NA,0,3,NA,1,1,25,23,NA,NA,NA,NA,12,NA,NA,8029,NA,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,0,1,"ESS Round 4",NA,1,NA,1,NA
"3814",1,0,NA,0,"carla",NA,1,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"HS22","testc22",NA,2,0,1,"spa",0,2,1,5,11,NA,2,5,NA,2,1,18,32,NA,NA,NA,NA,20,0,NA,8030,1,2,1,0,0,NA,1,1,0,1,1,1,0,0,0,1,1,"ESS Round 4",0,1,1,1,5
"3815",0,0,NA,0,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"HS23","testc23",NA,2,0,1,"spa",0,0,1,5,11,NA,2,2,NA,1,1,18,22,NA,NA,NA,NA,13,0,NA,8031,1,2,1,0,0,NA,1,1,0,1,1,1,0,0,0,1,0,"ESS Round 4",0,1,1,1,5
"3816",0,0,NA,0,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"HS24","testc24",NA,2,0,1,"spa",0,0,1,5,11,NA,2,2,NA,1,1,18,21,NA,NA,NA,NA,12,0,NA,8032,1,2,1,0,0,NA,1,1,0,1,1,1,0,0,0,1,0,"ESS Round 4",0,1,1,1,5
"3817",1,0,NA,0,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,1,2,1,NA,1,1,NA,0,1,"HS25","testc25",3,2,1,1,"spa",1,2,3,NA,6,NA,2,4,2,2,4,27,89,NA,2,NA,61,67,0,NA,8033,1,2,3,0,1,NA,1,1,0,1,1,1,0,0,0,0,1,"ESS Round 4",1,1,0,1,NA
"3818",1,0,NA,0,"carla",NA,NA,1,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,0,2,1,NA,1,1,NA,NA,0,"HS26","testc26",NA,2,1,1,"spa",0,2,2,NA,6,NA,2,3,NA,1,2,28,34,NA,NA,NA,NA,22,0,NA,8034,1,2,3,0,1,NA,1,1,0,1,1,1,0,0,0,0,1,"ESS Round 4",1,1,0,1,NA
"3819",1,0,NA,0,"carla",NA,NA,1,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,0,2,1,NA,1,0,NA,NA,0,"HS27","testc27",NA,2,1,1,"spa",0,2,3,NA,6,NA,2,3,NA,1,1,30,26,NA,NA,NA,NA,24,0,NA,8035,1,2,3,0,1,NA,1,1,0,1,1,1,0,0,0,0,1,"ESS Round 4",1,1,0,1,NA
"3820",1,0,NA,2,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,1,NA,1,1,NA,0,1,"HS28","testc28",3,NA,NA,NA,"spa",1,0,2,3,NA,11,0,4,1,3,4,1,70,NA,0,NA,10,42,0,NA,8036,2,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ESS Round 4",1,NA,1,0,9
"3821",1,NA,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,0,NA,NA,1,1,NA,NA,0,"HS29","testc29",NA,NA,NA,NA,"spa",0,0,3,3,NA,11,0,4,NA,3,4,1,69,NA,NA,NA,NA,42,NA,NA,8037,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ESS Round 4",NA,NA,NA,0,NA
"3822",1,NA,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,0,NA,NA,1,1,NA,NA,0,"HS30","testc30",NA,NA,NA,NA,"spa",0,0,3,3,NA,11,0,4,NA,3,4,1,64,NA,NA,NA,NA,41,NA,NA,8038,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"ESS Round 4",NA,NA,NA,0,NA
"3823",1,0,NA,1,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,1,1,NA,1,1,NA,NA,0,"HS31","testc31",NA,3,0,2,"spa",0,0,6,12,5,NA,0,8,NA,2,1,25,61,NA,NA,NA,NA,34,0,NA,8039,2,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,0,1,"ESS Round 4",1,1,1,1,9
"3824",0,NA,NA,1,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,0,NA,NA,0,0,NA,NA,0,"HS32","testc32",NA,3,0,2,"spa",0,0,1,20,5,NA,0,3,NA,1,0,25,19,NA,NA,NA,NA,12,NA,NA,8040,NA,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,1,1,"ESS Round 4",NA,1,NA,1,NA
"3825",0,NA,NA,1,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,0,NA,NA,0,0,NA,NA,0,"HS33","testc33",NA,3,0,2,"spa",0,0,4,20,5,NA,0,4,NA,1,1,19,29,NA,NA,NA,NA,16,NA,NA,8041,NA,2,1,0,1,NA,1,1,NA,0,0,1,0,0,0,1,1,"ESS Round 4",NA,1,NA,1,NA
"3826",1,0,NA,0,"carla",NA,1,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"HS34","testc34",NA,2,0,1,"spa",0,0,3,5,11,NA,0,5,NA,2,2,15,48,NA,NA,NA,NA,32,0,NA,8042,1,2,1,0,0,NA,1,1,0,1,1,1,0,0,0,1,1,"ESS Round 4",0,1,1,1,5
"3827",1,0,NA,0,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"HS35","testc35",NA,2,0,1,"spa",0,0,1,5,11,NA,0,2,NA,1,1,15,32,NA,NA,NA,NA,26,0,NA,8043,1,2,1,0,0,NA,1,1,0,1,1,1,0,0,0,1,0,"ESS Round 4",0,1,1,1,5
"3828",1,0,NA,0,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"HS36","testc36",NA,2,0,1,"spa",0,0,1,5,11,NA,0,2,NA,1,1,15,44,NA,NA,NA,NA,26,0,NA,8044,1,2,1,0,0,NA,1,1,0,1,1,1,0,0,0,1,0,"ESS Round 4",0,1,1,1,5
"3829",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,9,NA,NA,NA,14,2,0,7,2,1,NA,0,1,NA,NA,0,"A1","TVTOT",NA,3,0,1,"cat",0,1,2,NA,8,NA,1,4,NA,2,2,55,33,NA,NA,NA,NA,20,0,0,8045,1,2,3,0,0,NA,0,NA,NA,0,0,1,0,0,0,1,0,"ESS Round 4",0,NA,1,1,9
"3830",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,8,NA,NA,NA,14,2,0,7,2,1,NA,1,1,NA,NA,0,"A3","RDTOT",NA,3,0,1,"cat",0,2,2,NA,8,NA,4,4,NA,2,1,55,25,NA,NA,NA,NA,16,0,0,8046,1,2,3,0,0,NA,0,NA,NA,0,0,1,0,0,0,0,0,"ESS Round 4",0,NA,1,1,9
"3831",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,7,NA,NA,NA,14,2,0,7,2,1,NA,1,1,NA,NA,0,"A5","NWSPTOT",NA,3,0,1,"cat",0,1,2,NA,8,NA,1,4,NA,2,1,55,32,NA,NA,NA,NA,18,0,0,8047,1,2,3,0,0,NA,0,NA,NA,0,0,1,0,0,0,1,0,"ESS Round 4",0,NA,1,1,9
"3832",1,0,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,1,1,2,1,NA,1,1,NA,NA,0,"A8","PPLTRST",NA,2,1,1,"cat",0,1,1,NA,11,NA,2,5,NA,2,5,31,93,NA,NA,NA,NA,69,0,0,8048,1,2,1,0,1,NA,1,0,0,1,1,0,0,0,0,1,1,"ESS Round 4",0,NA,0,1,NA
"3833",1,0,NA,1,"carla",NA,NA,1,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,0,2,1,NA,1,1,NA,NA,0,"A9","PPLFAIR",NA,2,1,1,"cat",0,1,2,NA,11,NA,2,4,NA,1,2,39,40,NA,NA,NA,NA,23,0,0,8049,1,2,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,1,"ESS Round 4",0,1,0,1,NA
"3834",0,0,NA,3,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"B25","STFECO",NA,2,0,1,"cat",0,0,2,12,11,NA,0,4,NA,2,1,26,34,NA,NA,NA,NA,20,0,0,8050,1,2,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,0,"ESS Round 4",0,1,1,1,9
"3835",0,0,NA,3,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"B26","STFGOV",NA,2,0,1,"cat",0,0,3,1,11,NA,0,5,NA,2,1,26,40,NA,NA,NA,NA,20,0,0,8051,1,2,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,0,"ESS Round 4",0,1,1,1,9
"3836",0,0,NA,2,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,2,1,NA,1,1,NA,NA,0,"B27","STFDEM",NA,2,0,1,"cat",0,0,4,3,11,NA,0,5,NA,2,1,26,34,NA,NA,NA,NA,20,0,0,8052,1,2,1,0,1,NA,1,1,0,1,1,0,0,0,0,1,0,"ESS Round 4",0,1,1,1,9
"3837",0,0,NA,2,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,1,1,1,NA,1,1,NA,NA,0,"B30","GINCDIF",NA,3,0,2,"cat",0,0,5,12,5,NA,0,8,NA,2,2,19,58,NA,NA,NA,NA,36,0,0,8053,2,2,1,0,0,NA,1,1,NA,0,0,1,0,0,0,1,1,"ESS Round 4",0,1,0,1,NA
"3838",0,NA,NA,3,"carla",NA,6,7,"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,0,NA,NA,0,0,NA,NA,0,"B31","FREEHMS",NA,3,0,2,"cat",0,0,1,20,5,NA,0,3,NA,1,0,19,19,NA,NA,NA,NA,13,NA,0,8054,NA,2,1,0,0,NA,1,1,NA,0,0,1,0,0,0,1,1,"ESS Round 4",NA,1,NA,1,NA
"3839",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,9,NA,NA,NA,14,2,0,NA,2,1,NA,1,1,NA,0,1,"HS1","testc1",3,NA,NA,NA,"cat",1,2,4,NA,NA,25,2,5,2,2,2,4,33,NA,3,NA,62,23,0,0,8055,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ESS Round 4",0,NA,1,0,9
"3840",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,8,NA,NA,NA,14,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS2","testc2",NA,NA,NA,NA,"cat",0,2,4,NA,NA,25,2,5,NA,2,2,4,33,NA,NA,NA,NA,23,0,0,8056,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ESS Round 4",0,NA,1,0,9
"3841",0,0,NA,0,"carla",NA,NA,5,"ES",NA,NA,NA,NA,NA,7,NA,NA,NA,14,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS3","testc3",NA,NA,NA,NA,"cat",0,2,4,NA,NA,25,2,5,NA,2,2,4,33,NA,NA,NA,NA,23,0,0,8057,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,"ESS Round 4",0,NA,1,0,9
"3842",1,0,NA,1,"carla",NA,NA,2,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS4","testc4",NA,NA,NA,NA,"cat",0,1,4,NA,NA,NA,1,5,NA,2,3,20,49,NA,NA,NA,NA,34,0,0,8058,1,2,NA,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,"ESS Round 4",1,NA,0,1,NA
"3843",1,0,NA,1,"carla",NA,NA,1,"ES",NA,NA,NA,NA,NA,NA,NA,4,NA,11,2,0,NA,2,1,NA,1,1,NA,NA,0,"HS5","testc5",NA,NA,NA,NA,"cat",0,2,3,NA,NA,NA,2,5,NA,2,2,28,45,NA,NA,NA,NA,34,0,0,8059,1,2,NA,1,NA,NA,NA,NA,NA,0,0,1,0,0,0,1,1,"ESS Round 4",1,NA,0,1,NA
